sku;produto;variacao;saldo;peso_liquido_g
AR-HN-BLK-S;Peitoral para Cachorro ARIA;Preto / P;25;161
AR-HN-BLK-M;Peitoral para Cachorro ARIA;Preto / M;15;228
AR-HN-BLK-G;Peitoral para Cachorro ARIA;Preto / G;5;284
AR-HN-CML-S;Peitoral para Cachorro ARIA;Caramelo / P;25;161
AR-HN-CML-M;Peitoral para Cachorro ARIA;Caramelo / M;15;228
AR-HN-CML-G;Peitoral para Cachorro ARIA;Caramelo / G;5;284
AR-HN-OFF-S;Peitoral para Cachorro ARIA;Off White / P;25;161
AR-HN-OFF-M;Peitoral para Cachorro ARIA;Off White / M;15;228
AR-HN-OFF-G;Peitoral para Cachorro ARIA;Off White / G;5;284
AR-HN-BRW-S;Peitoral para Cachorro ARIA;Marrom / P;25;161
AR-HN-BRW-M;Peitoral para Cachorro ARIA;Marrom / M;15;228
AR-HN-BRW-G;Peitoral para Cachorro ARIA;Marrom / G;5;284
AR-CL-BLK-S;Coleira para Cachorro ARIA;P / Preto;25;78
AR-CL-BLK-M;Coleira para Cachorro ARIA;M / Preto;15;81
AR-CL-BLK-G;Coleira para Cachorro ARIA;G / Preto;5;104
AR-CL-CML-S;Coleira para Cachorro ARIA;P / Caramelo;25;78
AR-CL-CML-M;Coleira para Cachorro ARIA;M / Caramelo;15;81
AR-CL-CML-G;Coleira para Cachorro ARIA;G / Caramelo;5;104
AR-CL-OFF-S;Coleira para Cachorro ARIA;P / Off White;25;78
AR-CL-OFF-M;Coleira para Cachorro ARIA;M / Off White;15;81
AR-CL-OFF-G;Coleira para Cachorro ARIA;G / Off White;5;104
AR-CL-BRW-S;Coleira para Cachorro ARIA;P / Marrom;25;78
AR-CL-BRW-M;Coleira para Cachorro ARIA;M / Marrom;15;81
AR-CL-BRW-G;Coleira para Cachorro ARIA;G / Marrom;5;104
AR-LS-BLK;Guia para Cachorro ARIA;Preto;15;168
AR-LS-CML;Guia para Cachorro ARIA;Caramelo;15;168
AR-LS-OFF;Guia para Cachorro ARIA;Off White;15;168
AR-LS-BRW;Guia para Cachorro ARIA;Marrom;15;168
AR-PB-BLK;Porta Saquinho para Cachorro ARIA;Preto;15;46
AR-PB-CML;Porta Saquinho para Cachorro ARIA;Caramelo;15;46
AR-PB-OFF;Porta Saquinho para Cachorro ARIA;Off White;15;46
AR-PB-BRW;Porta Saquinho para Cachorro ARIA;Marrom;15;46
