"ID";"Código";"Descrição";"Unidade";"NCM";"Origem";"Preço";"Valor IPI fixo";"Observações";"Situação";"Estoque";"Preço de custo";"Cód. no fornecedor";"Fornecedor";"Localização";"Estoque máximo";"Estoque mínimo";"Peso líquido (Kg)";"Peso bruto (Kg)";"GTIN/EAN";"GTIN/EAN da Embalagem";"Largura do produto";"Altura do Produto";"Profundidade do produto";"Data Validade";"Descrição do Produto no Fornecedor";"Descrição Complementar";"Itens p/ caixa";"Produto Variação";"Tipo Produção";"Classe de enquadramento do IPI";"Código na Lista de Serviços";"Tipo do item";"Grupo de Tags/Tags";"Tributos";"Código Pai";"Código Integração";"Grupo de produtos";"Marca";"CEST";"Volumes";"Descrição Curta";"Cross-Docking";"URL Imagens Externas";"Link Externo";"Meses Garantia no Fornecedor";"Clonar dados do pai";"Condição do Produto";"Frete Grátis";"Número FCI";"Vídeo";"Departamento";"Unidade de Medida";"Preço de Compra";"Valor base ICMS ST para retenção";"Valor ICMS ST para retenção";"Valor ICMS próprio do substituto";"Categoria do produto";"Informações Adicionais"
"16698914737";"AR-BD-AUR-OS	";"Bandana para Cachorro Aurora By ARIA";"";"";"0";"280,00";"0,00";"";"Ativo";"155,00";"0,00";"	";"";"	";"0,00";"0,00";"0,052";"0,052";"	";"	";"0,00";"0,00";"0,00";"";"";"<p>Um clássico atemporal. A bandana Aurora tem toque macio e caimento leve: fica bem sobre a coleira do cachorro e igualmente bem no seu pescoço.</p><p>55 × 55 cm <em>(80% viscose, 20% seda)</em>, em tamanho único.</p><p>Combina com a coleira e a guia da mesma linha.</p>";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"";"";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16698914719";"8925334765704	";"Porta Saquinho para Cachorro ARIA";"";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"<p>Pequeno, e resolve. O porta saquinho ARIA leva o essencial do passeio — saquinhos, chave, petiscos — preso na guia ou na coleira, sem atrapalhar.</p>
<p>Disponível em quatro cores: preto, caramelo, off white e marrom. Combina com a guia e a coleira da mesma linha.</p>
<p><strong>Medidas</strong></p>
<ul>
<li>Comprimento: 8 cm</li>
<li>Largura: 5 cm</li>
</ul>";"0,00";"";"Terceiros";"";"";"";"";"0,00";"";"8925334765704";"";"";"";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16698914725";"AR-PB-CML	";"Cor:Caramelo;Tamanho:P";"";"";"0";"200,00";"0,00";"";"Ativo";"15,00";"0,00";"	";"";"	";"0,00";"0,00";"0,046";"0,046";"	";"	";"0,00";"0,00";"0,00";"";"";"<p>Pequeno, e resolve. O porta saquinho ARIA leva o essencial do passeio — saquinhos, chave, petiscos — preso na guia ou na coleira, sem atrapalhar.</p>
<p>Disponível em quatro cores: preto, caramelo, off white e marrom. Combina com a guia e a coleira da mesma linha.</p>
<p><strong>Medidas</strong></p>
<ul>
<li>Comprimento: 8 cm</li>
<li>Largura: 5 cm</li>
</ul>";"0,00";"";"Terceiros";"";"";"";"";"0,00";"8925334765704";"45873116283016";"";"";"";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16698914734";"AR-PB-BRW	";"Cor:Marrom;Tamanho:P";"";"";"0";"200,00";"0,00";"";"Ativo";"15,00";"0,00";"	";"";"	";"0,00";"0,00";"0,046";"0,046";"	";"	";"0,00";"0,00";"0,00";"";"";"<p>Pequeno, e resolve. O porta saquinho ARIA leva o essencial do passeio — saquinhos, chave, petiscos — preso na guia ou na coleira, sem atrapalhar.</p>
<p>Disponível em quatro cores: preto, caramelo, off white e marrom. Combina com a guia e a coleira da mesma linha.</p>
<p><strong>Medidas</strong></p>
<ul>
<li>Comprimento: 8 cm</li>
<li>Largura: 5 cm</li>
</ul>";"0,00";"";"Terceiros";"";"";"";"";"0,00";"8925334765704";"45873116479624";"";"";"";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16698914730";"AR-PB-OFF	";"Cor:Off White;Tamanho:P";"";"";"0";"200,00";"0,00";"";"Ativo";"15,00";"0,00";"	";"";"	";"0,00";"0,00";"0,046";"0,046";"	";"	";"0,00";"0,00";"0,00";"";"";"<p>Pequeno, e resolve. O porta saquinho ARIA leva o essencial do passeio — saquinhos, chave, petiscos — preso na guia ou na coleira, sem atrapalhar.</p>
<p>Disponível em quatro cores: preto, caramelo, off white e marrom. Combina com a guia e a coleira da mesma linha.</p>
<p><strong>Medidas</strong></p>
<ul>
<li>Comprimento: 8 cm</li>
<li>Largura: 5 cm</li>
</ul>";"0,00";"";"Terceiros";"";"";"";"";"0,00";"8925334765704";"45873116381320";"";"";"";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16698914721";"AR-PB-BLK	";"Cor:Preto;Tamanho:P";"";"";"0";"201,00";"0,00";"";"Ativo";"15,00";"0,00";"	";"";"	";"0,00";"0,00";"0,046";"0,046";"	";"	";"0,00";"0,00";"0,00";"";"";"<p>Pequeno, e resolve. O porta saquinho ARIA leva o essencial do passeio — saquinhos, chave, petiscos — preso na guia ou na coleira, sem atrapalhar.</p>
<p>Disponível em quatro cores: preto, caramelo, off white e marrom. Combina com a guia e a coleira da mesma linha.</p>
<p><strong>Medidas</strong></p>
<ul>
<li>Comprimento: 8 cm</li>
<li>Largura: 5 cm</li>
</ul>";"0,00";"";"Terceiros";"";"";"";"";"0,00";"8925334765704";"45873116184712";"";"";"";"0";"";"0";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16698914677";"8925331423368	";"Coleira para Cachorro ARIA";"";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"<p>O básico bem feito. A coleira ARIA reúne acabamento premium e ajuste confortável num desenho minimalista, leve o bastante para o cachorro usar todo dia.</p><p>Disponível nos tamanhos P, M e G e em quatro cores: off white, marrom, preto e caramelo. Combina com a guia e o peitoral da mesma linha.</p><p><strong>Medidas</strong></p><ul>
<li>P — pescoço de 28 a 38 cm · tira de 2,0 cm de largura</li>
<li>M — pescoço de 34 a 50 cm · tira de 2,0 cm de largura</li>
<li>G — pescoço de 42 a 62 cm · tira de 2,5 cm de largura</li>
</ul><p>Antes de escolher, meça o pescoço do seu cachorro com uma fita métrica e confira o <a href=""/pages/guia-de-tamanhos"">guia de tamanhos das coleiras e peitorais</a>.</p>";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"";"8925331423368";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16698914689";"AR-CL-CML-G	";"Tamanho:G;Cor:Caramelo";"";"";"0";"220,00";"0,00";"";"Ativo";"5,00";"0,00";"	";"";"	";"0,00";"0,00";"0,104";"0,104";"	";"	";"0,00";"0,00";"0,00";"";"";"<p>O básico bem feito. A coleira ARIA reúne acabamento premium e ajuste confortável num desenho minimalista, leve o bastante para o cachorro usar todo dia.</p><p>Disponível nos tamanhos P, M e G e em quatro cores: off white, marrom, preto e caramelo. Combina com a guia e o peitoral da mesma linha.</p><p><strong>Medidas</strong></p><ul>
<li>P — pescoço de 28 a 38 cm · tira de 2,0 cm de largura</li>
<li>M — pescoço de 34 a 50 cm · tira de 2,0 cm de largura</li>
<li>G — pescoço de 42 a 62 cm · tira de 2,5 cm de largura</li>
</ul><p>Antes de escolher, meça o pescoço do seu cachorro com uma fita métrica e confira o <a href=""/pages/guia-de-tamanhos"">guia de tamanhos das coleiras e peitorais</a>.</p>";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"8925331423368";"45872917086344";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16698914687";"AR-CL-BRW-G	";"Tamanho:G;Cor:Marrom";"";"";"0";"220,00";"0,00";"";"Ativo";"5,00";"0,00";"	";"";"	";"0,00";"0,00";"0,104";"0,104";"	";"	";"0,00";"0,00";"0,00";"";"";"<p>O básico bem feito. A coleira ARIA reúne acabamento premium e ajuste confortável num desenho minimalista, leve o bastante para o cachorro usar todo dia.</p><p>Disponível nos tamanhos P, M e G e em quatro cores: off white, marrom, preto e caramelo. Combina com a guia e o peitoral da mesma linha.</p><p><strong>Medidas</strong></p><ul>
<li>P — pescoço de 28 a 38 cm · tira de 2,0 cm de largura</li>
<li>M — pescoço de 34 a 50 cm · tira de 2,0 cm de largura</li>
<li>G — pescoço de 42 a 62 cm · tira de 2,5 cm de largura</li>
</ul><p>Antes de escolher, meça o pescoço do seu cachorro com uma fita métrica e confira o <a href=""/pages/guia-de-tamanhos"">guia de tamanhos das coleiras e peitorais</a>.</p>";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"8925331423368";"45872917020808";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16698914686";"AR-CL-OFF-G	";"Tamanho:G;Cor:Off White";"";"";"0";"220,00";"0,00";"";"Ativo";"5,00";"0,00";"	";"";"	";"0,00";"0,00";"0,104";"0,104";"	";"	";"0,00";"0,00";"0,00";"";"";"<p>O básico bem feito. A coleira ARIA reúne acabamento premium e ajuste confortável num desenho minimalista, leve o bastante para o cachorro usar todo dia.</p><p>Disponível nos tamanhos P, M e G e em quatro cores: off white, marrom, preto e caramelo. Combina com a guia e o peitoral da mesma linha.</p><p><strong>Medidas</strong></p><ul>
<li>P — pescoço de 28 a 38 cm · tira de 2,0 cm de largura</li>
<li>M — pescoço de 34 a 50 cm · tira de 2,0 cm de largura</li>
<li>G — pescoço de 42 a 62 cm · tira de 2,5 cm de largura</li>
</ul><p>Antes de escolher, meça o pescoço do seu cachorro com uma fita métrica e confira o <a href=""/pages/guia-de-tamanhos"">guia de tamanhos das coleiras e peitorais</a>.</p>";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"8925331423368";"45872916988040";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
